construct_design_id,route,p450_entry,p450_system_type,redox_partner_requirement,thioesterase_entry,combined_design_feasibility_score,recommended_p450_action,p450_expression_module,redox_module,localization_module,p450_construct_risk,thioesterase_module,thioesterase_rationale,thioesterase_risk,route_module,precursor_support_module,expected_intermediates_to_monitor,route_specific_risk,minimal_negative_controls,positive_or_process_controls,construct_comparison_controls,primary_readout,construct_priority_tier
10H2DA_DESIGN_001,free_acid_route,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,P41903,24.883743,high_priority_test_with_yeast_cpr_or_cognate_cpr,express B8QHP1 as ER-associated fungal CYP52 omega-hydroxylase,test yeast NCP1/CPR1 support first; keep cognate CPR as fallback if available,ER/microsomal context preferred; avoid forcing peroxisomal import in first pass,medium,use TES1/PTE1 as primary acyl-CoA thioesterase candidate,native peroxisomal long-chain acyl-CoA thioesterase; best endogenous family fit,medium_compartment_and_substrate_specificity,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare B8QHP1+P41903 against B8QHP1-only and P41903-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier1_build_first
10H2DA_DESIGN_002,coa_bound_route,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,P41903,24.681262,high_priority_test_with_yeast_cpr_or_cognate_cpr,express B8QHP1 as ER-associated fungal CYP52 omega-hydroxylase,test yeast NCP1/CPR1 support first; keep cognate CPR as fallback if available,ER/microsomal context preferred; avoid forcing peroxisomal import in first pass,medium,use TES1/PTE1 as primary acyl-CoA thioesterase candidate,native peroxisomal long-chain acyl-CoA thioesterase; best endogenous family fit,medium_compartment_and_substrate_specificity,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare B8QHP1+P41903 against B8QHP1-only and P41903-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier1_build_first
10H2DA_DESIGN_003,free_acid_route,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,P38256,23.911797,high_priority_test_with_yeast_cpr_or_cognate_cpr,express B8QHP1 as ER-associated fungal CYP52 omega-hydroxylase,test yeast NCP1/CPR1 support first; keep cognate CPR as fallback if available,ER/microsomal context preferred; avoid forcing peroxisomal import in first pass,medium,screen P38256 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare B8QHP1+P38256 against B8QHP1-only and P38256-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier2_parallel_or_followup
10H2DA_DESIGN_004,free_acid_route,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,P53208,23.88678,high_priority_test_with_yeast_cpr_or_cognate_cpr,express B8QHP1 as ER-associated fungal CYP52 omega-hydroxylase,test yeast NCP1/CPR1 support first; keep cognate CPR as fallback if available,ER/microsomal context preferred; avoid forcing peroxisomal import in first pass,medium,screen P53208 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare B8QHP1+P53208 against B8QHP1-only and P53208-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier2_parallel_or_followup
10H2DA_DESIGN_005,free_acid_route,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,Q12354,23.789467,high_priority_test_with_yeast_cpr_or_cognate_cpr,express B8QHP1 as ER-associated fungal CYP52 omega-hydroxylase,test yeast NCP1/CPR1 support first; keep cognate CPR as fallback if available,ER/microsomal context preferred; avoid forcing peroxisomal import in first pass,medium,screen Q12354 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare B8QHP1+Q12354 against B8QHP1-only and Q12354-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier2_parallel_or_followup
10H2DA_DESIGN_006,coa_bound_route,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,P53208,23.642332,high_priority_test_with_yeast_cpr_or_cognate_cpr,express B8QHP1 as ER-associated fungal CYP52 omega-hydroxylase,test yeast NCP1/CPR1 support first; keep cognate CPR as fallback if available,ER/microsomal context preferred; avoid forcing peroxisomal import in first pass,medium,screen P53208 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare B8QHP1+P53208 against B8QHP1-only and P53208-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier2_parallel_or_followup
10H2DA_DESIGN_007,coa_bound_route,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,P38256,23.632095,high_priority_test_with_yeast_cpr_or_cognate_cpr,express B8QHP1 as ER-associated fungal CYP52 omega-hydroxylase,test yeast NCP1/CPR1 support first; keep cognate CPR as fallback if available,ER/microsomal context preferred; avoid forcing peroxisomal import in first pass,medium,screen P38256 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare B8QHP1+P38256 against B8QHP1-only and P38256-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier2_parallel_or_followup
10H2DA_DESIGN_008,coa_bound_route,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,Q12354,23.515462,high_priority_test_with_yeast_cpr_or_cognate_cpr,express B8QHP1 as ER-associated fungal CYP52 omega-hydroxylase,test yeast NCP1/CPR1 support first; keep cognate CPR as fallback if available,ER/microsomal context preferred; avoid forcing peroxisomal import in first pass,medium,screen Q12354 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare B8QHP1+Q12354 against B8QHP1-only and Q12354-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier2_parallel_or_followup
10H2DA_DESIGN_009,free_acid_route,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,P07149,22.802914,high_priority_test_with_yeast_cpr_or_cognate_cpr,express B8QHP1 as ER-associated fungal CYP52 omega-hydroxylase,test yeast NCP1/CPR1 support first; keep cognate CPR as fallback if available,ER/microsomal context preferred; avoid forcing peroxisomal import in first pass,medium,avoid relying on P07149 unless primary thioesterases fail,weak or generic thioesterase family fit,high_specificity_risk,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare B8QHP1+P07149 against B8QHP1-only and P07149-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier2_parallel_or_followup
10H2DA_DESIGN_010,coa_bound_route,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,P07149,22.540601,high_priority_test_with_yeast_cpr_or_cognate_cpr,express B8QHP1 as ER-associated fungal CYP52 omega-hydroxylase,test yeast NCP1/CPR1 support first; keep cognate CPR as fallback if available,ER/microsomal context preferred; avoid forcing peroxisomal import in first pass,medium,avoid relying on P07149 unless primary thioesterases fail,weak or generic thioesterase family fit,high_specificity_risk,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare B8QHP1+P07149 against B8QHP1-only and P07149-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier2_parallel_or_followup
10H2DA_DESIGN_011,coa_bound_route,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P41903,21.821352,secondary_priority_high_activity_but_expression_risk,express P14581 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,use TES1/PTE1 as primary acyl-CoA thioesterase candidate,native peroxisomal long-chain acyl-CoA thioesterase; best endogenous family fit,medium_compartment_and_substrate_specificity,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P14581+P41903 against P14581-only and P41903-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
