database_guess,relative_path,absolute_path,suffix,size_bytes,line_count_sampled,header_sample,notes
ChEBI,Data\database\ChEBI_complete_3star.sdf,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\ChEBI_complete_3star.sdf,.sdf,259948508,,,Structure file; parse with RDKit/OpenBabel in later phase.
ChEBI,Data\database\chebi_id_smiles.csv,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\chebi_id_smiles.csv,.csv,4453287,50810,"SMILES,ChEBI ID",
ChEBI,Data\database\chebi_second_id_smiles.csv,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\chebi_second_id_smiles.csv,.csv,578925,16445,"SMILES,Secondary ChEBI ID",
KEGG,Data\database\kegg_compound.txt,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\kegg_compound.txt,.txt,2596274,18921,KEGG	Name	Formula	MetaNetX	ModelSEED	BiGG	ChEBI	MetaCyc	SABIO-RK	Reactome	SMILES,
MetaNetX,Data\database\mnx_chem_depr.tsv,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\mnx_chem_depr.tsv,.tsv,1971770,77704,deprecated_ID	ID	version,
MetaNetX,Data\database\mnx_chem_prop.tsv,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\mnx_chem_prop.tsv,.tsv,676323253,1000000,id	name	reference	formula	charge	mass	InChI	InChIKey	SMILES,
MetaNetX,Data\database\MNX_reac_prop.tsv,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\MNX_reac_prop.tsv,.tsv,9106282,74699,ID	mnx_equation	reference	classifs	is_balanced	is_transport,
MetaNetX,Data\database\mnxmeta_smile_carbon.csv,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\mnxmeta_smile_carbon.csv,.csv,152863325,906670,"inchikey0,SMILES",
MetaNetX,Data\database\mnxmeta_smile_inchikey_dict.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\mnxmeta_smile_inchikey_dict.json,.json,175290994,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
MetaNetX,Data\database\MNXmetabolite_smile.csv,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\MNXmetabolite_smile.csv,.csv,231465404,1000000,"MNX_ID,name,formula,charge,mass,SMILES",
MetaNetX,Data\database\MNXreaction_smile.csv,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\MNXreaction_smile.csv,.csv,17986958,23573,"MNX_ID,equation,REFERENCE,classifs,is_balanced,is_transport,substrate_smiles,product_smiles,equ_name,equ_smiles,deprecated_equ,deprecated_equ_smiles",
MetaNetX,Data\database\MNXreaction_smile_reverse.csv,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\MNXreaction_smile_reverse.csv,.csv,35953289,45589,"MNX_ID,equation,REFERENCE,classifs,is_balanced,is_transport,substrate_smiles,product_smiles,equ_name,equ_smiles,deprecated_equ,deprecated_equ_smiles",
MetaNetX,Data\database\MNXreaction_smile_reverse_ATP_ADP.csv,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\MNXreaction_smile_reverse_ATP_ADP.csv,.csv,35949381,45589,"MNX_ID,equation,REFERENCE,classifs,is_balanced,is_transport,substrate_smiles,product_smiles,equ_name,equ_smiles,deprecated_equ,deprecated_equ_smiles",
UniProt,Data\database\uniprot\uniprot_reaction_smiles.csv,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\uniprot\uniprot_reaction_smiles.csv,.csv,276475136,228799,"Entry,Reviewed,Entry Name,Catalytic activity,reaction_rhea_id,reaction_smiles",
UniProt,Data\database\uniprot\uniprotkb_organism_id_559292_2023_11_08.tsv,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\uniprot\uniprotkb_organism_id_559292_2023_11_08.tsv,.tsv,1176274,6736,Entry	Organism	Gene Names	Protein names	EC number,
YMDB,Data\database\ymdb\ymdb.csv,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\ymdb\ymdb.csv,.csv,3138863,16043,"ID,NAME,SMILES,inchikey",
YMDB,Data\database\ymdb\ymdb_class.csv,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\ymdb\ymdb_class.csv,.csv,3978763,16043,"ID,inchikey,SMILES,NAME,super_class,class",
YMDB,Data\database\ymdb\ymdb_correct_smiles.xlsx,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\ymdb\ymdb_correct_smiles.xlsx,.xlsx,2775521,,,Excel table; inspect with pandas/openpyxl in later phase.
YMDB,Data\database\ymdb\ymdb_final_result.xlsx,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\ymdb\ymdb_final_result.xlsx,.xlsx,1143408,,,Excel table; inspect with pandas/openpyxl in later phase.
YMDB,Data\database\ymdb\ymdb_uptake.csv,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\ymdb\ymdb_uptake.csv,.csv,14182,52,"ID,Name,SMILES,Description,inchikey0",
YMDB,Data\database\ymdb\ymdb_uptake_63.csv,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\database\ymdb\ymdb_uptake_63.csv,.csv,15391,64,"ID,Name,SMILES,Description",
Other,Data\pathway_enzyme.list,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\pathway_enzyme.list,.list,504626,19596,path:map00010	ec:1.1.1.1,
Model,Data\yeast-GEM-final.csv,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\yeast-GEM-final.csv,.csv,772106,2807,"#,ID,NAME,UNCONSTRAINED,MIRIAM,COMPOSITION,InChI,COMPARTMENT,REPLACEMENT ID,CHARGE,SMILES,MNXM_ID,chebi_id,kegg_id,metMetaNetXID_new,standard_smiles,inchikey0",
Model,Data\yeast_gem_smiles.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data\yeast_gem_smiles.json,.json,66461,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\not_lipid\top50_0.3\retrosys_smiles_calculate_similarity_filter_top50_0.3.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3\retrosys_smiles_calculate_similarity_filter_top50_0.3.json,.json,68704654,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\not_lipid\top50_0.3\RXNdb_all_top50_0.3.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3\RXNdb_all_top50_0.3.json,.json,112030161,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\retrosys_smiles_calculate_similarity_filter_top50_0.3.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\retrosys_smiles_calculate_similarity_filter_top50_0.3.json,.json,92108843,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,.json,147439144,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\not_lipid\top50_0.3_re\retrosys_smiles_calculate_similarity_filter_top50_0.3.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_re\retrosys_smiles_calculate_similarity_filter_top50_0.3.json,.json,68704654,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\not_lipid\top50_0.3_re\RXNdb_all_top50_0.3.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_re\RXNdb_all_top50_0.3.json,.json,112030161,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top30_0.2\retrosys_smiles_calculate_similarity_filter_top30_0.2.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top30_0.2\retrosys_smiles_calculate_similarity_filter_top30_0.2.json,.json,78672643,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top30_0.2\RXNdb_all_top30_0.2.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top30_0.2\RXNdb_all_top30_0.2.json,.json,82863935,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top30_0.3\retrosys_smiles_calculate_similarity_filter_top30_0.3.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top30_0.3\retrosys_smiles_calculate_similarity_filter_top30_0.3.json,.json,78619590,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top30_0.3\RXNdb_all_top30_0.3.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top30_0.3\RXNdb_all_top30_0.3.json,.json,82754975,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top30_0.4\retrosys_smiles_calculate_similarity_filter_top30_0.4.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top30_0.4\retrosys_smiles_calculate_similarity_filter_top30_0.4.json,.json,78392865,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top30_0.4\RXNdb_all_top30_0.4.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top30_0.4\RXNdb_all_top30_0.4.json,.json,81949803,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top40_0.2\retrosys_smiles_calculate_similarity_filter_top40_0.2.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top40_0.2\retrosys_smiles_calculate_similarity_filter_top40_0.2.json,.json,84502885,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top40_0.2\RXNdb_all_top40_0.2.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top40_0.2\RXNdb_all_top40_0.2.json,.json,105153091,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top40_0.3\retrosys_smiles_calculate_similarity_filter_top40_0.3.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top40_0.3\retrosys_smiles_calculate_similarity_filter_top40_0.3.json,.json,84411472,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top40_0.3\RXNdb_all_top40_0.3.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top40_0.3\RXNdb_all_top40_0.3.json,.json,104907004,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top40_0.4\retrosys_smiles_calculate_similarity_filter_top40_0.4.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top40_0.4\retrosys_smiles_calculate_similarity_filter_top40_0.4.json,.json,84012394,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top40_0.4\RXNdb_all_top40_0.4.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top40_0.4\RXNdb_all_top40_0.4.json,.json,103554000,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top50_0.2\retrosys_smiles_calculate_similarity_filter_top50_0.2.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top50_0.2\retrosys_smiles_calculate_similarity_filter_top50_0.2.json,.json,89750053,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top50_0.2\RXNdb_all_top50_0.2.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top50_0.2\RXNdb_all_top50_0.2.json,.json,127089002,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top50_0.3\retrosys_smiles_calculate_similarity_filter_top50_0.3.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top50_0.3\retrosys_smiles_calculate_similarity_filter_top50_0.3.json,.json,89611248,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top50_0.3\RXNdb_all_top50_0.3.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top50_0.3\RXNdb_all_top50_0.3.json,.json,126696077,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top50_0.4\retrosys_smiles_calculate_similarity_filter_top50_0.4.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top50_0.4\retrosys_smiles_calculate_similarity_filter_top50_0.4.json,.json,89016952,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top50_0.4\RXNdb_all_top50_0.4.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top50_0.4\RXNdb_all_top50_0.4.json,.json,124842159,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top60_0.2\retrosys_smiles_calculate_similarity_filter_top60_0.2.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top60_0.2\retrosys_smiles_calculate_similarity_filter_top60_0.2.json,.json,95182648,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top60_0.2\RXNdb_all_top60_0.2.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top60_0.2\RXNdb_all_top60_0.2.json,.json,147964254,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top60_0.3\retrosys_smiles_calculate_similarity_filter_top60_0.3.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top60_0.3\retrosys_smiles_calculate_similarity_filter_top60_0.3.json,.json,94983217,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top60_0.3\RXNdb_all_top60_0.3.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top60_0.3\RXNdb_all_top60_0.3.json,.json,147418426,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top60_0.4\retrosys_smiles_calculate_similarity_filter_top60_0.4.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top60_0.4\retrosys_smiles_calculate_similarity_filter_top60_0.4.json,.json,94142876,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top60_0.4\RXNdb_all_top60_0.4.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top60_0.4\RXNdb_all_top60_0.4.json,.json,144974668,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top70_0.2\retrosys_smiles_calculate_similarity_filter_top70_0.2.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top70_0.2\retrosys_smiles_calculate_similarity_filter_top70_0.2.json,.json,103028692,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top70_0.2\RXNdb_all_top70_0.2.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top70_0.2\RXNdb_all_top70_0.2.json,.json,177636128,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top70_0.3\retrosys_smiles_calculate_similarity_filter_top70_0.3.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top70_0.3\retrosys_smiles_calculate_similarity_filter_top70_0.3.json,.json,102720537,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top70_0.3\RXNdb_all_top70_0.3.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top70_0.3\RXNdb_all_top70_0.3.json,.json,176593064,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top70_0.4\retrosys_smiles_calculate_similarity_filter_top70_0.4.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top70_0.4\retrosys_smiles_calculate_similarity_filter_top70_0.4.json,.json,101481615,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
Retrosynthesis,Data_retrosynthesis\yeast8_recovery\top70_0.4\RXNdb_all_top70_0.4.json,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\yeast8_recovery\top70_0.4\RXNdb_all_top70_0.4.json,.json,173471253,,,JSON asset; not deeply loaded in phase2 scan to avoid expensive reads.
